ticker,approach,group,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,epochs_trained,final_train_loss,final_val_loss,timestamp
AXP,MULTI-SCALE,MEDIUM,603,151,185,0.02290551076150337,0.1664475268345934,0.03669028386643061,0.043254758204853035,3.866681950598514,3.198392252655178,0.010475657287794628,0.04300739138757852,0.5894039735099338,-0.47935303428151127,151,200,0.00157838873565197,0.002112510148435831,2025-10-31 15:11:58
JNJ,MULTI-SCALE,LOW,603,151,185,-0.02809120556348047,0.06356261791172839,0.022095346646156207,0.0258243396367801,3.6972764372960603,1.3055370858770439,0.005866263913827807,0.02518720312795155,0.6490066225165563,-0.3567635739866097,151,200,0.0007219327962957323,0.000898876111023128,2025-10-31 15:12:55
NFLX,ORIGINAL,MEDIUM,808,203,124,0.18751992184150715,0.13863442051536623,0.06260352050576443,0.048805819140804764,3.5500485933132286,6.319591813907923,0.01104386887728531,0.04938410806489761,0.5853658536585366,-0.5315183943637115,164,200,0.0052743880078196526,0.0032757758162915707,2025-10-31 15:08:51
IBM,ORIGINAL,MEDIUM,808,203,124,,,0.03266713134360209,0.04462324465308327,3.2966456693953385,4.2757378623479285,0.009182177543979956,0.04421541295920112,0.5960591133004927,-0.6448976079080676,203,200,0.0011009592562913895,0.002026290399953723,2025-10-31 15:14:51
BLK,MULTI-SCALE,MEDIUM,603,151,185,0.027045629291362276,-0.10630725188298086,0.03464488108294557,0.03539205041018438,3.1757113077237618,1.6312876252640174,0.007065500738675713,0.03531849598018654,0.6754966887417219,-0.49485356935704955,151,200,0.0014385025715455413,0.0014933949569240212,2025-10-31 15:15:52
BAC,MULTI-SCALE,MEDIUM,603,151,185,0.051789129640656704,0.2652781478452744,0.03853457611553109,0.04249637778069113,3.1649670005050385,2.0771376173356386,0.008388619844696,0.04207475518433903,0.6688741721854304,-0.6043296030485139,151,200,0.002917706035077572,0.0032478547655045986,2025-10-31 15:16:20
SCHW,ORIGINAL,MEDIUM,808,203,124,,,0.0507415775403636,0.03555532757490664,3.0561086400957285,2.4755855053579126,0.006767196287596286,0.03515120807271788,0.5862068965517241,-0.5137639383436174,203,200,0.002608903218060732,0.0012971181422472,2025-10-31 15:09:52
INTC,MULTI-SCALE,HIGH,603,151,185,0.2730377941462672,0.2765266252306167,0.06776336008343195,0.0770502802589557,2.74241084735078,3.824864313070692,0.013541560458783141,0.07838563220159966,0.6714285714285714,-0.7362049924590877,70,200,0.005920671857893467,0.007244933396577835,2025-10-31 15:13:24
CSCO,MULTI-SCALE,LOW,603,151,185,0.07124033146297175,0.1345804765987286,0.02861337032746722,0.032701080893749394,2.733554399539645,1.1475527090438224,0.005620116001129958,0.03263757095339785,0.6225165562913907,-0.41248496283955705,151,200,0.0012368386378511786,0.0015163408825173974,2025-10-31 15:17:17
ABBV,ORIGINAL,LOW,808,203,124,,,0.032472608138233806,0.038868264779033816,2.6858940492706056,2.2383177353635575,0.0065627770254646015,0.038788147858764985,0.6108374384236454,-0.6509827364583733,203,200,0.001084549119696021,0.0015412259381264448,2025-10-31 15:10:29
