ticker,group,volatility_pct,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,old_original_sharpe,old_multiscale_sharpe,improvement_vs_original,improvement_vs_multiscale,timestamp
IBM,MEDIUM,1.5112009028654263,603,151,89,,,0.032909589374906865,0.03798718895166067,2.1100974727060824,0.916555554980083,0.005045516311896582,0.03795800403498493,0.6225165562913907,-0.6448976079080676,151,3.2966456693953385,2.1100974727060824,-1.1865481966892562,0.0,2025-10-31 16:28:13
AAPL,MEDIUM,1.8177097526018116,603,151,89,0.2589106766487731,-0.01732692664477168,0.03464172777907902,0.05251677818186913,1.9690161903706036,1.156292942984213,0.006512988444309231,0.05250870297486896,0.5915492957746479,-0.5877975763689132,142,-0.3807724051552844,1.8262148491899568,2.349788595525888,0.1428013411806468,2025-10-31 16:28:09
MA,MEDIUM,1.5169928808186623,603,151,89,,,0.024467251692266438,0.031337441238557306,1.4751584919707668,0.436570277810326,0.0029033687357032044,0.031243795215773692,0.6423841059602649,-0.4097135765499149,151,-2.636079266756178,1.4751584919707668,4.111237758726945,0.0,2025-10-31 16:28:13
COST,LOW,1.4896853429701455,603,151,185,0.7397988282440351,0.2719446859310939,0.02138713957471438,0.027602557728481192,1.4094145814292602,0.3308521821125838,0.002199046012196125,0.02476827874432463,0.47706422018348627,-0.30454703533084293,109,0.1294173242828059,1.040865328042173,1.2799972571464544,0.3685492533870873,2025-10-31 16:28:15
ABBV,LOW,1.4448218120467566,603,151,185,0.8025676866331751,0.15231767895978238,0.02186554343181529,0.04271644721041163,1.3589834646457544,0.48594137221870737,0.0034268485329706304,0.04002957755467701,0.6714285714285714,-0.48655010437275115,70,4.175599212265453,2.2430062068545285,-2.816615747619699,-0.8840227422087741,2025-10-31 16:28:18
QCOM,MEDIUM,2.482642811043492,603,151,89,0.46127204717376896,-0.12168414367569973,0.04343293476456039,0.04960125102140827,1.160509550212744,0.4273490791269863,0.003618005766727751,0.049490382042979654,0.5496688741721855,-0.6045755052632085,151,0.3090667575055626,1.160509550212744,0.8514427927071815,0.0,2025-10-31 16:28:04
KO,LOW,1.025617902097208,603,151,185,0.5670149219945821,0.06849159276994472,0.01767814642139005,0.021116672853022253,1.130593379306363,0.21102109472505637,0.0014865397052564219,0.020872301816651617,0.4594594594594595,-0.2440109547224342,37,2.221036086951288,0.2553142472818041,-1.0904427076449252,0.8752791320245589,2025-10-31 16:28:26
CVX,MEDIUM,1.6055242826560785,603,151,89,0.27712941280771136,0.2211078549427802,0.029723144081994522,0.03920070916497495,1.1271296582615806,0.3460535754533629,0.002780007724048807,0.03915366272243817,0.6119402985074627,-0.6557667491450929,134,1.2057493762082736,1.420843808111995,-0.07861971794669298,-0.29371414985041433,2025-10-31 16:28:11
TMO,MEDIUM,1.7266891826584685,603,151,89,0.2993883353671197,,0.03136957853282766,0.05239765232588957,1.1086356274004479,0.42157408058899115,0.003656807655813215,0.052361678141437676,0.44370860927152317,-0.7406243436353016,151,1.541429065287467,1.108635627400448,-0.4327934378870191,-2.220446049250313e-16,2025-10-31 16:28:10
INTC,HIGH,3.0501998215865367,808,203,80,0.3924268183028182,0.04657106148175253,0.05648976426915608,0.0968409052993556,0.9103200217788296,0.18944963294748063,0.005444605834825997,0.09494511390119008,0.5625,-0.9474338776683091,96,0.0194487637811291,3.630627739002271,0.8908712579977005,-2.7203077172234416,2025-10-31 16:28:02
