ticker,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,timestamp
UNH,808,203,124,0.3671466845657963,-0.10916218148566667,0.032303816734238315,0.07954678828065614,1.0650201019702723,0.5703678681729833,0.005217567639088959,0.07776972319761781,0.5298013245033113,-0.9422680726111246,0,2025-10-31 16:24:03
XOM,808,203,124,0.32473313801018544,0.3483904738707572,0.03654964200530268,0.0352171369856921,1.0556698480894569,0.4173308337062134,0.00237024162856858,0.03564222227815557,0.5566502463054187,-0.5148961596932916,0,2025-10-31 16:24:00
NOW,808,203,124,0.628749957799426,0.1004106222814345,0.04596069209578415,0.05620072811654387,1.0260435439532627,0.5316771375542795,0.0035786160684618163,0.055366820701096546,0.46153846153846156,-0.6430048822183566,0,2025-10-31 16:24:10
MCD,808,203,124,,,0.02541513783200139,0.023294052726481263,0.9871164216029009,0.26993165361377836,0.0014484729349458067,0.02329390383629607,0.5073891625615764,-0.39256832502932587,0,2025-10-31 16:24:08
TMUS,808,203,124,0.13582895954727203,,0.030299813282148178,0.037731312365132774,0.34757491168905613,0.024224065705547027,0.0008234917515905054,0.03761067283309431,0.5123152709359606,-0.6545384860075505,0,2025-10-31 16:24:07
QCOM,808,203,124,0.5701583815220529,0.14049497813663933,0.04593103176452236,0.048008370958503875,0.3090667575055626,-0.03829163738074137,0.0009339997355163129,0.04797276248122783,0.65,-0.7678341287991399,0,2025-10-31 16:24:11
COST,808,203,124,0.4086434766502522,-0.10849669233796079,0.03240013001752268,0.03187615253565171,0.12941732428280597,-0.049313516149919745,0.0002576441235913224,0.031602984293984164,0.49214659685863876,-0.5696744908238054,0,2025-10-31 16:24:01
GOOGL,808,203,124,0.47084439787941856,0.11627893597677302,0.04064443227103491,0.044537141017152754,0.1080750210652532,-0.13751989828886957,0.00030827165409328647,0.0452802206250184,0.5705882352941176,-0.7799637516905925,0,2025-10-31 16:23:55
HD,808,203,124,0.2358584059046529,,0.03468759944168155,0.03000506419213118,0.08263036614428013,-0.05844946607131796,0.00015616500602958213,0.03000159302625413,0.5270935960591133,-0.597191755381746,0,2025-10-31 16:24:02
META,808,203,124,0.5575927631186971,-0.08204760787003428,0.0477797319818396,0.05165343939406494,0.03184386847620972,-0.20538247115612884,9.960944691266748e-05,0.049656371045590494,0.5677966101694916,-0.6691806437461727,0,2025-10-31 16:23:56
INTC,808,203,124,0.673487214933568,-0.0680440258429856,0.047017670956486235,0.10182696900347932,0.019448763781129145,-0.5949971758399499,0.00011651368163982376,0.09510102423722139,0.5142857142857142,-0.9419231793496993,2,2025-10-31 16:24:10
BLK,808,203,124,0.43546520904373537,0.045267184971472876,0.0356459359586084,0.03640307792573707,-0.10853221290304477,-0.16875751603696654,-0.00024994971218773025,0.036558995400471674,0.6842105263157895,-0.7032466839602868,0,2025-10-31 16:24:12
NEE,808,203,124,0.46666030144311543,-0.14752938161237564,0.03600719582390483,0.0390771460644719,-0.30092311294895263,-0.26126726538327405,-0.0007336434141333043,0.038701673775248274,0.5149253731343284,-0.6139138731048596,0,2025-10-31 16:24:13
AAPL,808,203,124,0.2967729601015464,-0.09216605108742404,0.03649153458427574,0.05120120615849059,-0.3807724051552844,-0.4079470549538654,-0.0012263877391358897,0.05112844719988169,0.5195530726256983,-0.8796109768551257,0,2025-10-31 16:23:55
PEP,808,203,124,,,0.02256866876680653,0.030130030016106903,-0.4095024869717959,-0.22207938937627636,-0.0007767356823451177,0.030110431784363505,0.0,-0.6145126250363869,0,2025-10-31 16:24:09
MRK,808,203,124,,,0.029412970408064815,0.0450944754088872,-0.8272225062051992,-0.493859753937379,-0.0023404116513313896,0.04491280506871163,0.47783251231527096,-0.754614300318952,0,2025-10-31 16:24:08
AXP,808,203,124,0.39815998041708434,-0.16035395999961866,0.04135879328991732,0.043939149002498575,-0.8600606063092262,-0.4930348828487878,-0.002370562180788825,0.043754483940592184,0.5108695652173914,-0.87455871864019,0,2025-10-31 16:24:06
PG,808,203,124,,,0.023870928976252547,0.02469394105471291,-1.043629392173797,-0.3227867057850953,-0.0016153316266137438,0.02457059450969753,0.4827586206896552,-0.556603282453397,0,2025-10-31 16:24:03
ISRG,808,203,124,0.46660106486511077,-0.07436585891088636,0.04341652152302055,0.05622552757372403,-1.0746378696965262,-0.6619302874140385,-0.003729195689373876,0.05508753039103464,0.3684210526315789,-0.9041281460835463,0,2025-10-31 16:24:11
V,808,203,124,0.34912963765287847,-0.15215928655144723,0.030770024247234656,0.030406382455044224,-1.101616229780803,-0.4055409857595962,-0.0021007107955824285,0.030271658267157116,0.539568345323741,-0.7304713915059317,0,2025-10-31 16:23:59
TSLA,808,203,124,0.7852747748755566,-0.12351198601391529,0.058596426265991895,0.09369204207142301,-1.3037603561882005,-0.8930063358066395,-0.007171815259595466,0.08732359226475216,0.4,-0.9577789969340638,0,2025-10-31 16:23:57
AMZN,808,203,124,0.554559129157613,-0.02169524621495114,0.04558416732524008,0.042788471601412276,-1.4512721159129245,-0.6205218391190399,-0.0038576975316670717,0.04219680729831307,0.4444444444444444,-0.8608453067208164,0,2025-10-31 16:23:56
BAC,808,203,124,0.3600409660408997,0.083046686275475,0.04029085508942784,0.04162511608962443,-1.6684590729190107,-0.654303268631421,-0.004340058844461941,0.041293370263173514,0.6055045871559633,-0.7547768307918493,0,2025-10-31 16:24:02
MA,808,203,124,0.44804709753887867,-0.37208691063867294,0.03221061238165317,0.03190465208501079,-2.636079266756178,-0.677118746072592,-0.005074552142979336,0.030559027161291434,0.5795454545454546,-0.8321489997155076,0,2025-10-31 16:23:59
AMD,808,203,124,0.7537576999130348,-0.20432111459325542,0.05528767355624131,0.09429921521229752,-3.735285096534544,-0.9929224708277308,-0.020479706484643534,0.0870362645125541,0.38461538461538464,-0.9975852523248528,0,2025-10-31 16:24:01
JNJ,808,203,124,,,0.02211126983237165,0.025572795162187467,-4.523282426654036,-0.7721765906254832,-0.006961620128978822,0.02443188001020409,0.0,-0.7981249734009628,0,2025-10-31 16:24:00
