,strategy,benchmark
2023-10-13,9663.568586478268,9533.730153240527
2023-10-16,9743.908138543518,9634.038842182674
2023-10-17,9743.684845708984,9633.596850083473
2023-10-18,9646.373879218698,9505.228233929609
2023-10-19,9572.350495109895,9421.711094596545
2023-10-20,9469.736795058021,9305.93683234292
2023-10-23,9447.207535361165,9289.807925035926
2023-10-24,9482.785368676257,9359.848109657201
2023-10-25,9380.651897848144,9225.514329397689
2023-10-26,9282.50448779547,9115.041205560772
2023-10-27,9245.797993078248,9073.724973840155
2023-10-30,9334.019699520382,9182.208095690528
2023-10-31,9363.301039200374,9239.875960001305
2023-11-01,9438.221546542252,9338.415988853221
2023-11-02,9596.671669762618,9517.380595730647
2023-11-03,9673.549993517783,9604.212329961005
2023-11-06,9684.587371009142,9626.305017986795
2023-11-07,9698.35482256373,9653.701611202998
2023-11-08,9703.681712239368,9660.77279309679
2023-11-09,9637.475595544074,9585.432161752231
2023-11-10,9768.918339243603,9735.010173426908
2023-11-13,9752.21712997894,9725.730414423966
2023-11-14,9846.722986229173,9914.417464096961
2023-11-15,9862.397269434496,9935.406901108314
2023-11-16,9872.963612950063,9947.5578795225
2023-11-17,9883.72363567164,9959.93158321985
2023-11-20,9941.665485869427,10036.599574248861
2023-11-21,9930.843056576761,10014.726153039106
2023-11-22,9959.568731288502,10053.390432164519
2023-11-24,9964.929887457307,10059.576246473054
2023-11-27,9940.525499927415,10041.459412259795
2023-11-28,9945.441810244267,10051.401813564828
2023-11-29,9940.197990901592,10044.33201505789
2023-11-30,9974.429105593483,10083.880278381703
2023-12-01,10026.064349711944,10143.536069598747
2023-12-04,9971.24116061299,10090.287434586553
2023-12-05,9970.259906281939,10088.299507680287
2023-12-06,9940.14807098261,10047.646609955184
2023-12-07,10006.456617212993,10124.314600984197
2023-12-08,10044.100316489858,10167.839409813969
2023-12-11,10069.477225454471,10207.388364831208
2023-12-12,10092.449017634726,10254.007810048812
2023-12-13,10196.841012508323,10395.412080508688
2023-12-14,10225.51509093268,10428.775221217391
2023-12-15,10210.75656642791,10411.603240224022
2023-12-18,10252.093032636241,10470.169614295144
2023-12-19,10283.232283768542,10533.836535689443
2023-12-20,10176.322895282294,10387.867088618103
2023-12-21,10260.62588964015,10486.363540784181
2023-12-22,10278.664133834913,10507.438747780358
2023-12-26,10307.606766902336,10551.80603920297
2023-12-27,10316.91582921098,10570.884327278342
2023-12-28,10319.83716165144,10574.876781733095
2023-12-29,10293.702429014442,10544.262430699235
2024-01-02,10234.378582348045,10485.25544791576
2024-01-03,10192.62932641056,10399.624493472904
2024-01-04,10168.055982225635,10366.126472546133
2024-01-05,10180.22557368156,10380.324863501219
2024-01-08,10299.516550152013,10528.51395477653
2024-01-09,10289.425160628887,10512.540678490383
2024-01-10,10331.19557788163,10571.993803533613
2024-01-11,10327.28349631291,10567.335248309639
2024-01-12,10333.430140286211,10574.654748143355
2024-01-16,10291.981859115273,10535.833454610247
2024-01-17,10263.40604863493,10477.2691556194
2024-01-18,10331.74819238732,10570.439568405436
2024-01-19,10444.459270081139,10702.212007908545
2024-01-22,10455.94842056838,10724.841450032896
2024-01-23,10471.777438539633,10756.120518449123
2024-01-24,10480.002083532989,10767.8772316105
2024-01-25,10528.98060141765,10826.44429737505
2024-01-26,10517.477544838683,10812.68928190602
2024-01-29,10579.975596559543,10898.320928042302
2024-01-30,10575.887300945158,10889.889876873036
2024-01-31,10446.563132579535,10712.196602512562
2024-02-01,10565.92885773586,10852.400093184939
2024-02-02,10663.195882364222,10966.647096354
2024-02-05,10619.895921396987,10926.714943178767
2024-02-06,10635.29702054001,10958.4387704679
2024-02-07,10701.812184395782,11049.837064696578
2024-02-08,10705.95037112305,11054.716961816863
2024-02-09,10760.129822806162,11118.607300187752
2024-02-12,10746.566531903469,11113.72671137404
2024-02-13,10672.63381805479,10960.656339591591
2024-02-14,10745.158873397964,11060.262959706368
2024-02-15,10810.000871728787,11136.575420314426
2024-02-16,10762.877623710016,11081.116133112802
2024-02-20,10701.677130659258,11020.109464634821
2024-02-21,10706.519653612982,11030.092675851985
2024-02-22,10872.616550925713,11258.366031987223
2024-02-23,10879.190052452723,11266.13098238727
2024-02-26,10836.090974427347,11224.868011060455
2024-02-27,10846.05018138425,11245.72118446689
2024-02-28,10835.744780641387,11230.858076129438
2024-02-29,10869.213538843502,11271.232913097298
2024-03-01,10956.930342860487,11377.04955679052
2024-03-04,10937.395592950892,11364.848776449664
2024-03-05,10882.795458612936,11251.267182356394
2024-03-06,10924.057337999076,11308.279321299342
2024-03-07,11018.883424696141,11420.53148062788
2024-03-08,10960.97550598457,11351.98189533959
2024-03-11,10943.148791843316,11342.22140940559
2024-03-12,11001.949432351968,11464.233362974703
2024-03-13,10989.00129565775,11446.263859461176
2024-03-14,10969.99066148914,11423.637184110528
2024-03-15,10904.08457263718,11345.194999443878
2024-03-18,10951.14650577785,11412.621274608377
2024-03-19,10981.544857340292,11476.04333652988
2024-03-20,11057.744051168573,11582.189917987293
2024-03-21,11089.747379487042,11620.463390327026
2024-03-22,11071.326653995655,11598.433646403
2024-03-25,11034.860659839691,11566.38956505764
2024-03-26,11024.680237758022,11545.026613596257
2024-03-27,11094.099126301777,11642.048375378148
2024-03-28,11092.244842706996,11639.82527270705
2024-04-01,11065.659048782141,11619.571105807512
2024-04-02,11030.516932473633,11545.694789445753
2024-04-03,11039.588928466132,11558.377680104517
2024-04-04,10921.773516115809,11417.295738781148
2024-04-05,11021.377636777412,11536.56996977023
2024-04-08,11017.128028858213,11543.024161128047
2024-04-09,11023.493385520276,11556.375919329732
2024-04-10,10940.747406585404,11440.65975932389
2024-04-11,11012.892772987969,11527.00246630208
