,strategy,benchmark
2023-10-09 00:00:00-04:00,10006.023913217592,9551.18572853855
2023-10-10 00:00:00-04:00,10006.023913217592,9600.897043370285
2023-10-11 00:00:00-04:00,10006.023913217592,9640.224656491211
2023-10-12 00:00:00-04:00,10006.023913217592,9581.454924552849
2023-10-13 00:00:00-04:00,10006.023913217592,9533.730153240527
2023-10-16 00:00:00-04:00,10058.610226916513,9634.038842182674
2023-10-17 00:00:00-04:00,10058.263750425398,9633.596850083473
2023-10-18 00:00:00-04:00,9935.969794121596,9505.228233929609
2023-10-19 00:00:00-04:00,9876.076508981509,9421.711094596545
2023-10-20 00:00:00-04:00,9793.050426474223,9305.93683234292
2023-10-23 00:00:00-04:00,9774.821708735035,9289.807925035926
2023-10-24 00:00:00-04:00,9811.633324880484,9359.848109657201
2023-10-25 00:00:00-04:00,9741.030376287197,9225.514329397689
2023-10-26 00:00:00-04:00,9682.968076036808,9115.041205560772
2023-10-27 00:00:00-04:00,9650.176449978113,9073.724973840155
2023-10-30 00:00:00-04:00,9746.07348104865,9182.208095690528
2023-10-31 00:00:00-04:00,9766.830030904945,9239.875960001305
2023-11-01 00:00:00-04:00,9778.853771450371,9338.415988853221
2023-11-02 00:00:00-04:00,9778.853771450371,9517.380595730647
2023-11-03 00:00:00-04:00,9778.853771450371,9604.212329961005
2023-11-06 00:00:00-05:00,9778.853771450371,9626.305017986795
2023-11-07 00:00:00-05:00,9778.853771450371,9653.701611202998
2023-11-08 00:00:00-05:00,9778.853771450371,9660.77279309679
2023-11-09 00:00:00-05:00,9778.853771450371,9585.432161752231
2023-11-10 00:00:00-05:00,9855.075624436718,9735.010173426908
2023-11-13 00:00:00-05:00,9848.016465940142,9725.730414423966
2023-11-14 00:00:00-05:00,10010.237856510039,9914.417464096961
2023-11-15 00:00:00-05:00,10015.654453196614,9935.406901108314
2023-11-16 00:00:00-05:00,10017.18314744018,9947.5578795225
2023-11-17 00:00:00-05:00,10018.739862378596,9959.93158321985
2023-11-20 00:00:00-05:00,10027.122646141814,10036.599574248861
2023-11-21 00:00:00-05:00,10027.122646141814,10014.726153039106
2023-11-22 00:00:00-05:00,10027.122646141814,10053.390432164519
